02 · REGISTRO DE ENTIDADES,,,,,,,TECHNICAL,
"Registro unico de projeto, programas, produtos, plataformas, capacidades, modulos e iniciativas.",,,,,,,,
OBJETIVO,Garantir IDs unicos e integridade.,,,,,,,
PROXIMA ACAO,Validar entidades REVIEW_REQUIRED.,,DONO,Leonardo,STATUS,WORKING,,
entity_id,entity_name,entity_type,parent_id,cluster_id,authority_status,classification_status,source_basis,strategic_role
PRJ-LEONARDO-001,PROJECT-LEONARDO-ECOSYSTEM,PROJECT,'-,'-,SSOT,CONFIRMED,FILE,Raiz do ecossistema.
PRG-ASA,PROGRAM-ASA,PROGRAM,PRJ-LEONARDO-001,'-,CONFIRMED,CONFIRMED,FILE,"Arquitetura de sistemas agenticos, orquestracao, agentes, avaliacao, first principles."
PRG-TDAH,PROGRAM-TDAH,PROGRAM,PRJ-LEONARDO-001,'-,CONFIRMED,CONFIRMED,FILE,Sistemas operacionais cognitivos neuroinclusivos para ICP TDAH.
PRG-DESK-OS,PROGRAM-DESK-OS,PROGRAM,PRJ-LEONARDO-001,'-,CONFIRMED,CONFIRMED,FILE,"Sistema fisico-digital A4, workflows, QR contextual, produto comercial."
PRG-LEONARDO-OS,PROGRAM-LEONARDO-OS,PROGRAM,PRJ-LEONARDO-001,'-,CONFIRMED,CONFIRMED,FILE,Sistema operacional pessoal e empresarial; stack proprietario de skills; orquestrador.
PRG-EDUCATION,PROGRAM-EDUCATION,PROGRAM,PRJ-LEONARDO-001,'-,DRAFT,PROPOSED,PROVIDED_PROJECT_CONTEXT,Programa de educacao; Course Express e trilhas. Inserido como proposto.
PRG-SMALL-BUSINESS,PROGRAM-SMALL-BUSINESS,PROGRAM,PRJ-LEONARDO-001,'-,DRAFT,PROPOSED,PROVIDED_PROJECT_CONTEXT,"Programa Small Business; Business Suite, GTM Showroom, Agency Kit. Inserido como proposto."
PRD-ASA,PRODUCT-ASA,PRODUCT,PRG-ASA,'-,WORKING,CONFIRMED,FILE,"Arquitetura, metodos e ativos agenticos."
PRD-TDAH-OS,PRODUCT-TDAH-OS,PRODUCT,PRG-TDAH,'-,WORKING,CONFIRMED,FILE,"Sistema operacional cognitivo, 1 workflow/dia, 3 etapas, ICP TDAH."
PRD-COPILOTO-TDAH,PRODUCT-COPILOTO-TDAH,PRODUCT,PRG-TDAH,'-,WORKING,CONFIRMED,FILE,"Copiloto operacional, ciclos de 72h, proxima acao, evidencias."
PRD-DESK-OS,PRODUCT-DESK-OS,PRODUCT,PRG-DESK-OS,'-,WORKING,CONFIRMED,FILE,Produto autonomo comercializavel fisico-digital.
PRD-LEONARDO-OS,PRODUCT-LEONARDO-OS,PRODUCT,PRG-LEONARDO-OS,'-,WORKING,CONFIRMED,FILE,"Operacao pessoal de Leonardo; integra DESK-OS, ASA e macro-personalizacao."
PRD-COURSE-EXPRESS,PRODUCT-COURSE-EXPRESS,PRODUCT,PRG-EDUCATION,'-,DRAFT,PROPOSED,PROVIDED_PROJECT_CONTEXT,"Curso; trilhas TDAH, Macro, Anthropic Stack, Claude Power User. Sem arquivo proprio."
