10 · TEMPLATES E ASSETS,,,,,,,
Templates e ativos reaproveitaveis (ex.: 99-CMD ouro).,,,,,,,
OBJETIVO,Consolidar ativos do cluster.,,,,,,
PROXIMA ACAO,Validar inferencias.,,DONO,Leonardo,STATUS,WORKING,
item_id,item_name,program_id,product_id,item_type,status,authority,source_file
FILE-004,99-TEMPLATE_CDM_OURO,,,TEMPLATE,CONFIRMED,WORKING,99-TEMPLATE_CDM_OURO
FILE-040,Template_Minimo_Padronizacao_Processo.xlsx,,,WORKBOOK,CONFIRMED,WORKING,Template_Minimo_Padronizacao_Processo.xlsx
ITEM-040-S023,Fluxo Completo,,,WORKBOOK,PROPOSED,WORKING,Template_Minimo_Padronizacao_Processo.xlsx
ITEM-040-S024,Diagnóstico AS IS,,,WORKBOOK,PROPOSED,WORKING,Template_Minimo_Padronizacao_Processo.xlsx
ITEM-040-S025,TO BE e Piloto,,,WORKBOOK,PROPOSED,WORKING,Template_Minimo_Padronizacao_Processo.xlsx
ITEM-040-S026,SOP,,,WORKBOOK,PROPOSED,WORKING,Template_Minimo_Padronizacao_Processo.xlsx
ITEM-040-S027,Implantação e Controle,,,WORKBOOK,PROPOSED,WORKING,Template_Minimo_Padronizacao_Processo.xlsx
ITEM-002-S057,Briefing_Codificado,,,CODED_BRIEFING,PROPOSED,WORKING,03DESKOSPLANILHAMESTRAV3OUTPUTSBENCHMARK.xlsx
,,,,,,,
<- VOLTAR AO WORKSPACE,,,,,,,
