19 · ENTIDADES ESTRATEGICAS,,,,,,,,,
Entidades conhecidas inseridas como PROPOSED com fonte e evidencia. Requisitos nao inventados.,,,,,,,,,
OBJETIVO,Validar com evidencia documental.,,,,,,,,
PROXIMA ACAO,Confirmar ou rejeitar candidatos.,,DONO,Leonardo,STATUS,PROPOSED,,,
entity_id,entity_name,entity_type,program_id,strategic_role,source_basis,classification_status,documentation_status,missing_documents,next_validation_action
PLT-PADRAO-OS,PLATFORM-PADRAO-OS,PLATFORM,PRJ-LEONARDO-001,"Governanca, seguranca, memoria, qualidade, nomenclatura, gates, arquitetura-base.",FILE,CONFIRMED,EMBEDDED,'-,Validar com evidencia
PLT-DIRECTORY,PLATFORM-DIRECTORY,PLATFORM,PRJ-LEONARDO-001,"Cataloga skills, agentes, comandos, workflows, plugins, conectores, templates.",FILE,CONFIRMED,EMBEDDED,'-,Validar com evidencia
CAP-MACRO-PERSONALIZATION,CAP-MACRO-PERSONALIZATION,CAPABILITY,PLT-PADRAO-OS,"Configura produtos e ICPs: contexto, variaveis, memoria, skills, agentes, execucao.",FILE,CONFIRMED,EMBEDDED,'-,Validar com evidencia
CAP-AGENT-FACTORY,CAP-AGENT-FACTORY,CAPABILITY,PRG-ASA,Fabrica de agentes. A avaliar; sem documentacao dedicada confirmada.,PROVIDED_PROJECT_CONTEXT,REVIEW_REQUIRED,EMBEDDED,'-,Validar com evidencia
TRACK-TDAH,TRACK-TDAH,TRACK,PRD-COURSE-EXPRESS,Trilha TDAH do Course Express.,PROVIDED_PROJECT_CONTEXT,PROPOSED,MISSING,"BRD,MRD,PRD",Validar com evidencia
TRACK-MACRO-PERSONALIZATION,TRACK-MACRO-PERSONALIZATION,TRACK,PRD-COURSE-EXPRESS,Trilha de macro-personalizacao.,PROVIDED_PROJECT_CONTEXT,PROPOSED,MISSING,"BRD,MRD,PRD",Validar com evidencia
TRACK-ANTHROPIC-STACK,TRACK-ANTHROPIC-STACK,TRACK,PRD-COURSE-EXPRESS,Trilha Anthropic Stack.,PROVIDED_PROJECT_CONTEXT,PROPOSED,MISSING,"BRD,MRD,PRD",Validar com evidencia
TRACK-CLAUDE-POWER-USER,TRACK-CLAUDE-POWER-USER,TRACK,PRD-COURSE-EXPRESS,Trilha Claude Power User.,PROVIDED_PROJECT_CONTEXT,PROPOSED,MISSING,"BRD,MRD,PRD",Validar com evidencia
INIT-GTM-SHOWROOM,INIT-GTM-SHOWROOM,INITIATIVE,PRG-SMALL-BUSINESS,Iniciativa de demonstracao e aquisicao.,PROVIDED_PROJECT_CONTEXT,PROPOSED,MISSING,"BRD,MRD,PRD",Validar com evidencia
