17 · DECISOES,,,,,,
"DR-001, decisoes do Gate 0 e os 8 ajustes obrigatorios aplicados.",,,,,,
OBJETIVO,Manter rastreabilidade.,,,,,
PROXIMA ACAO,Nenhuma.,,DONO,Leonardo,STATUS,WORKING
decision_id,titulo,status,resolucao,origem,,
DR-001,Slot da aba 01 e README,APROVADO,00_WORKSPACE absorve dashboard+navegacao+legenda; 01=ID_TAG_DICTIONARY; README executivo no workspace e README completo em README_ARCHITECTURE.md.,Leonardo (aprovacao),,
DEC-G0-1,WF1-WF6 e Workflowagentico,APLICADA,"Ativos transversais de workflow/comando (C06 SHARED), nao exclusivos do ASA. Inspecao item a item; secoes especificas de arquitetura agentica -> ASA; 4D AI Fluency -> ASA EXTERNAL_REFERENCE.",0.txt,,
DEC-G0-2,Context vs Contextos_adicionais vs Design System,APLICADA,"Context=PROJECT_CONTEXT C09 SHARED; Contextos_adicionais=DESK-OS PRIMARY REVIEW_REQUIRED; Design System=C08 SHARED, primario DESK-OS, versoes preservadas.",0.txt,,
DEC-G0-3,Duplicata GTM,APLICADA,DUP-001: GTM_RATIONALE.txt=PRIMARY/preferred; BUSINESS_GMT_RATIONAL_=DUPLICATE_COPY. Hash identico. Nenhuma copia apagada.,0.txt,,
DEC-G0-4,Leonardo OS vs ASA/TDAH/DESK-OS,APLICADA,Programas irmaos; Leonardo OS nao e raiz hierarquica. Relacoes por USES/INTEGRATES_WITH/PROVIDES_TO; parent_item_id so para hierarquia real.,0.txt,,
ADJ-1,Nao fixar 54/56 antes de reconciliar,APLICADA,"physical=56; source=54; generated/system=2 (master_index.json, MASTER_INDEX.md); excluded=2 com motivo; in_scope=54. V1 = discovered=indexed+excluded.",README aprovacao,,
ADJ-2,Reconciliar 38 vs 41 abas do V3,APLICADA,"inventory_reported=38; runtime_detected=41; delta=+3; todas visiveis, nenhuma vazia/oculta. DoD usa 41 (hash d463c87ca843).",README aprovacao,,
ADJ-3,Granularidade de item,APLICADA,1 aba -> >=1 ITEM-ROOT; dividir por SECTION/TABLE quando multi-produto. item_granularity registrado.,README aprovacao,,
ADJ-4,Separar autoridade de classificacao,APLICADA,"authority_status, classification_status e documentation_status em campos distintos.",README aprovacao,,
ADJ-5,source_basis = PROVIDED_PROJECT_CONTEXT,APLICADA,"Entidades informadas no README usam PROVIDED_PROJECT_CONTEXT, nao MEMORY_CONFIRMED.",README aprovacao,,
ADJ-6,Regras de parada granulares,APLICADA,Arquivo individual ilegivel -> FILE_READ_ERROR e continua. BLOCKED apenas global.,README aprovacao,,
ADJ-7,Navegacao iPad-first agrupada,APLICADA,00_WORKSPACE agrupa links por Executivo/Produtos/Ativos/Governanca/Tecnico; abas tecnicas com tag TECHNICAL.,README aprovacao,,
ADJ-8,A4 como area de impressao,APLICADA,A4 nas abas marcadas; paisagem permitida; fonte nunca <9pt; cabecalho repetido.,README aprovacao,,
,,,,,,
<- VOLTAR AO WORKSPACE,,,,,,
