01 · DICIONARIO DE IDs E TAGS,,,,,,,TECHNICAL
"Fonte controlada de IDs, tags e validacoes. Alimenta as listas das demais abas.",,,,,,,
OBJETIVO,Padronizar identificadores e vocabularios.,,,,,,
PROXIMA ACAO,Manter alias e termos obsoletos.,,DONO,Leonardo,STATUS,WORKING,
,,,,,,,
ID REGISTRY,,,,,,,
Codigo,Categoria,Nome oficial,Definicao,Alias,Status,Usado em,
PRJ,ID,Projeto,Raiz do ecossistema,'-,CONFIRMED,02_ENTITY_REGISTRY,
PRG,ID,Programa,Agrupador estrategico,'-,CONFIRMED,03_PROGRAMS,
PRD,ID,Produto,Entregavel comercializavel,'-,CONFIRMED,04_PRODUCTS,
PLT,ID,Plataforma,Camada transversal,PLATFORM,CONFIRMED,02_ENTITY_REGISTRY,
CAP,ID,Capacidade,Funcao transversal,CAPABILITY,CONFIRMED,02_ENTITY_REGISTRY,
MOD,ID,Modulo,Componente de produto,MODULE,CONFIRMED,19_STRATEGIC_ENTITIES,
OFF,ID,Oferta,Pacote comercial,OFFER,PROPOSED,19_STRATEGIC_ENTITIES,
INI,ID,Iniciativa,Esforco em validacao,INIT,PROPOSED,19_STRATEGIC_ENTITIES,
SKL,ID,Skill,Ativo de skill,SKILL,CONFIRMED,09_COMMANDS_WORKFLOWS,
CMD,ID,Comando,Comando agentico,COMMAND,CONFIRMED,09_COMMANDS_WORKFLOWS,
WFL,ID,Workflow,Fluxo de trabalho,WF,CONFIRMED,09_COMMANDS_WORKFLOWS,
TPL,ID,Template,Modelo reaproveitavel,'-,CONFIRMED,10_TEMPLATES_ASSETS,
RSH,ID,Pesquisa,Investigacao,RESEARCH,CONFIRMED,08_RESEARCH_EVIDENCE,
REF,ID,Referencia,Referencia externa,'-,CONFIRMED,08_RESEARCH_EVIDENCE,
FILE,ID,Arquivo,Arquivo fisico,FIL,CONFIRMED,06_FILE_INDEX,
ITEM,ID,Item,Aba/secao/registro,ITM,CONFIRMED,05_ITEMS_MASTER,
DEC,ID,Decisao,Registro de decisao,DR,CONFIRMED,17_DECISIONS,
GAP,ID,Lacuna,Pendencia,'-,CONFIRMED,18_GAPS_REVIEW,
DUP,ID,Duplicata,Grupo de duplicidade,'-,CONFIRMED,16_DUPLICATES_VERSIONS,
VG,ID,Grupo de versao,Versoes concorrentes,VERSION_GROUP,CONFIRMED,16_DUPLICATES_VERSIONS,
,,,,,,,
TAG REGISTRY,,,,,,,
Tag,Familia,Definicao,Valores controlados,Alias,Status,'-,
#programa:,programa,Dono de programa,"asa,tdah,desk-os,leonardo-os,education,small-business",'-,CONFIRMED,,
#produto:,produto,Dono de produto,"asa,tdah-os,copiloto-tdah,desk-os,leonardo-os,course-express,business-suite",'-,CONFIRMED,,
#cluster:,cluster,Tipo de conteudo,product-strategy..editorial-content (C01-C12),'-,CONFIRMED,,
#tipo:,tipo,Tipo de item,"command,workflow,template,skill,design,reference...",'-,CONFIRMED,,
#status:,status,Classificacao,"confirmed,proposed,review_required,blocked",'-,CONFIRMED,,
#autoridade:,autoridade,Autoridade,"ssot,approved,working,draft,superseded,duplicate_copy,reference",'-,CONFIRMED,,
#icp:,icp,Perfil,"tdah,solo,smb...",'-,PROPOSED,,
#fase:,fase,Maturidade,"pre-dev,dev,validacao...",'-,PROPOSED,,
#origem:,origem,Procedencia,"file,sheet,provided-context,external-reference",'-,CONFIRMED,,
#prioridade:,prioridade,Prioridade,"alta,media,baixa",'-,PROPOSED,,
,,,,,,,
<- VOLTAR AO WORKSPACE,,,,,,,
