MASTER PROJECT ADMIN,,,,,,
Projeto: PROJECT-LEONARDO-ECOSYSTEM,,,,,,
Versao,V1,,,,,
Atualizado em,2026-06-25,,,,,
Status geral,WORKING,,,,,
Gate atual,Pos-Gate 0 / Materializacao,,,,,
Proxima decisao,Validar itens REVIEW_REQUIRED,,,,,
,,,,,,
FOCO ATUAL,,,,,,
Programa prioritario,PROGRAM-DESK-OS,,,,,
Produto prioritario,PRODUCT-DESK-OS,,,,,
Gate atual,Materializacao + Validacao V1-V10,,,,,
Principal lacuna,Course Express / Small Business sem doc dedicada,,,,,
Principal risco,Variantes Design System (SSOT a definir),,,,,
Proxima acao,Revisar itens REVIEW_REQUIRED no 05_ITEMS_MASTER,,,,,
,,,,,,
INDICADORES,,,,,,
Arquivos fisicos,,56,,Documentos em escopo,,54
Artefatos de indice (excluidos),,2,,Itens totais,,#NAME?
Abas dos 8 workbooks,,97,,Programas,,6
Produtos,,7,,Confirmados,,#NAME?
Propostos,,#NAME?,,Em revisao,,#NAME?
Duplicatas (grupos),,2,,Lacunas documentais,,9
,,,,,,
PENDENCIAS E ALERTAS,,,,,,
Variantes Design System com hashes diferentes,,,,REVIEW_REQUIRED,,GAP-008
Course Express sem arquivo proprio,,,,REVIEW_REQUIRED,,GAP-001
Agent Factory / Neuro-Agent a avaliar,,,,REVIEW_REQUIRED,,GAP-004/005
38 vs 41 abas do V3,,,,RESOLVIDO,,ADJ-2
54 vs 56 arquivos,,,,RESOLVIDO,,ADJ-1
,,,,,,
NAVEGACAO RAPIDA,,,,,,
EXECUTIVO,,,,,,
01_ID_TAG_DICTIONARY,,,,,,
02_ENTITY_REGISTRY,,TECHNICAL,,,,
03_PROGRAMS,,,,,,
04_PRODUCTS,,,,,,
,,,,,,
PRODUTOS,,,,,,
05_ITEMS_MASTER,,,,,,
06_FILE_INDEX,,,,,,
07_PRODUCT_DOCUMENTS,,,,,,
20_DOCUMENT_COVERAGE,,,,,,
,,,,,,
ATIVOS,,,,,,
08_RESEARCH_EVIDENCE,,,,,,
09_COMMANDS_WORKFLOWS,,,,,,
10_TEMPLATES_ASSETS,,,,,,
12_MACRO_PERSONALIZATION,,,,,,
13_DESIGN_UX,,,,,,
,,,,,,
GOVERNANCA,,,,,,
11_BUSINESS_GTM,,,,,,
14_DIRECTORY_CATALOG,,,,,,
15_RELATIONSHIPS,,,,,,
16_DUPLICATES_VERSIONS,,,,,,
17_DECISIONS,,,,,,
18_GAPS_REVIEW,,,,,,
19_STRATEGIC_ENTITIES,,,,,,
,,,,,,
TECNICO,,,,,,
21_FILE_CONTENT,,TECHNICAL,,,,
22_VALIDATION,,TECHNICAL,,,,
,,,,,,
LEGENDA E REGRAS (resumo executivo),,,,,,
STATUS: verde=confirmado/concluido | amarelo=proposto/atencao | vermelho=bloqueado/falta | azul=referencia.,,,,,,
AUTORIDADE != CLASSIFICACAO != DOCUMENTACAO (campos separados).,,,,,,
Inferencias = PROPOSED. Dois destinos plausiveis = REVIEW_REQUIRED.,,,,,,
"Programas irmaos: ASA, TDAH, DESK-OS, LEONARDO-OS. Education/Small Business = PROPOSED.",,,,,,
IDs estaveis (nunca reutilizados). README completo em README_ARCHITECTURE.md.,,,,,,
"iPad-first (rolagem vertical, A:H). A4 nas abas executivas. Sem macros.",,,,,,
